Марка;Сслыка;Цена в $;Цена  в UAH;Город
ВАЗ 2110 Gaz 4 16 v2001;https://auto.ria.com/uk/auto_vaz_2110_31092227.html;2 650;70 994 грн;Запоріжжя
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31085134.html;4 000;107 160 грн;Київ
ВАЗ 11192007;https://auto.ria.com/uk/auto_vaz_1119_31087704.html;3 500;93 765 грн;Луцьк
ВАЗ 210991998;https://auto.ria.com/uk/auto_vaz_21099_30819416.html;1 600;42 864 грн;Дніпро (Дніпропетровськ)
ВАЗ 21042006;https://auto.ria.com/uk/auto_vaz_2104_31092133.html;1 500;40 185 грн;Черкаси
ВАЗ 21091993;https://auto.ria.com/uk/auto_vaz_2109_31079261.html;1 800;48 222 грн;Бердянськ
ВАЗ 21042005;https://auto.ria.com/uk/auto_vaz_2104_31092140.html;2 200;58 938 грн;Шепетівка
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_31092081.html;2 000;53 580 грн;Буринь
ВАЗ 21092006;https://auto.ria.com/uk/auto_vaz_2109_31091443.html;2 550;68 315 грн;Рівне
ВАЗ 21212004;https://auto.ria.com/uk/auto_vaz_2121_31092058.html;3 450;92 426 грн;Тячів
ВАЗ 2105 210531991;https://auto.ria.com/uk/auto_vaz_2105_29271873.html;1 350;36 167 грн;Черкаси
ВАЗ 21081990;https://auto.ria.com/uk/auto_vaz_2108_31091930.html;1 500;40 185 грн;Михайлівка
ВАЗ 21211985;https://auto.ria.com/uk/auto_vaz_2121_31091927.html;3 000;80 370 грн;Мирноград (Димитров)
ВАЗ 21011978;https://auto.ria.com/uk/auto_vaz_2101_31086217.html;392;10 500 грн;Черкаси
ВАЗ 21152010;https://auto.ria.com/uk/auto_vaz_2115_31091869.html;4 700;125 913 грн;Запоріжжя
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_27743763.html;2 600;69 654 грн;Прилуки
ВАЗ 21091992;https://auto.ria.com/uk/auto_vaz_2109_30599258.html;1 750;46 883 грн;Хотин
ВАЗ 21091990;https://auto.ria.com/uk/auto_vaz_2109_31091807.html;1 900;50 901 грн;Кривий Ріг
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_31091795.html;2 200;58 938 грн;Конотоп
ВАЗ 21081993;https://auto.ria.com/uk/auto_vaz_2108_31091678.html;1 200;32 148 грн;Кам'янець-Подільський
ВАЗ 21712009;https://auto.ria.com/uk/auto_vaz_2171_31091629.html;4 700;125 913 грн;Запоріжжя
ВАЗ 21051992;https://auto.ria.com/uk/auto_vaz_2105_31091536.html;1 568;42 000 грн;Кривий Ріг
ВАЗ 21152007;https://auto.ria.com/uk/auto_vaz_2115_31091559.html;2 800;75 012 грн;Підволочиськ
ВАЗ 21211985;https://auto.ria.com/uk/auto_vaz_2121_31091469.html;4 500;120 555 грн;Івано-Франківськ
ВАЗ 21142005;https://auto.ria.com/uk/auto_vaz_2114_30904020.html;2 500;66 975 грн;Вінниця
ВАЗ 21152003;https://auto.ria.com/uk/auto_vaz_2115_31091351.html;2 650;70 994 грн;Київ
ВАЗ 21152002;https://auto.ria.com/uk/auto_vaz_2115_30046957.html;2 500;66 975 грн;Полтава
ВАЗ 21031975;https://auto.ria.com/uk/auto_vaz_2103_31091271.html;1 100;29 469 грн;Рубіжне
ВАЗ 21142010;https://auto.ria.com/uk/auto_vaz_2114_30785132.html;3 300;88 407 грн;Одеса
ВАЗ 21102008;https://auto.ria.com/uk/auto_vaz_2110_30299760.html;3 200;85 728 грн;Чернігів
ВАЗ 21061983;https://auto.ria.com/uk/auto_vaz_2106_31091102.html;700;18 753 грн;Маріуполь
ВАЗ 21041986;https://auto.ria.com/uk/auto_vaz_2104_31091027.html;1 120;30 000 грн;Запоріжжя
ВАЗ 11182006;https://auto.ria.com/uk/auto_vaz_1118_31091005.html;3 100;83 049 грн;Харків
ВАЗ 21072001;https://auto.ria.com/uk/auto_vaz_2107_30573499.html;1 200;32 148 грн;Сміла
ВАЗ 21011978;https://auto.ria.com/uk/auto_vaz_2101_31090885.html;1 000;26 790 грн;Лисичанськ
ВАЗ 2121 offroad1985;https://auto.ria.com/uk/auto_vaz_2121_30277536.html;3 000;80 370 грн;Чернівці
ВАЗ 21051990;https://auto.ria.com/uk/auto_vaz_2105_31090896.html;450;12 056 грн;Кам'янець-Подільський
ВАЗ 21041998;https://auto.ria.com/uk/auto_vaz_2104_30829879.html;1 500;40 185 грн;Луцьк
ВАЗ 21061986;https://auto.ria.com/uk/auto_vaz_2106_31090784.html;1 200;32 148 грн;Житомир
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31090372.html;2 700;72 333 грн;Славута
ВАЗ 21092004;https://auto.ria.com/uk/auto_vaz_2109_31090715.html;2 350;62 957 грн;Долина
ВАЗ 2112 21122008;https://auto.ria.com/uk/auto_vaz_2112_31090603.html;3 300;88 407 грн;Львів
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_31090689.html;2 300;61 617 грн;Черкаси
ВАЗ 2104 210431996;https://auto.ria.com/uk/auto_vaz_2104_31090662.html;1 500;40 185 грн;Яготин
ВАЗ 1118 1.6 8V2006;https://auto.ria.com/uk/auto_vaz_1118_30453688.html;3 000;80 370 грн;Дрогобич
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31090629.html;2 100;56 259 грн;Івано-Франківськ
ВАЗ 21061985;https://auto.ria.com/uk/auto_vaz_2106_30604265.html;1 300;34 827 грн;Кривий Ріг
ВАЗ 21092007;https://auto.ria.com/uk/auto_vaz_2109_31089567.html;2 150;57 599 грн;Кам'янець-Подільський
ВАЗ 21712009;https://auto.ria.com/uk/auto_vaz_2171_31090489.html;5 200;139 308 грн;Добропілля
ВАЗ 21041989;https://auto.ria.com/uk/auto_vaz_2104_31087843.html;1 300;34 827 грн;Мукачеве
ВАЗ 21142006;https://auto.ria.com/uk/auto_vaz_2114_31090391.html;3 300;88 407 грн;Київ
ВАЗ 21122008;https://auto.ria.com/uk/auto_vaz_2112_29665811.html;2 100;56 259 грн;Львів
ВАЗ 21081991;https://auto.ria.com/uk/auto_vaz_2108_31090222.html;900;24 111 грн;Стрий
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31090195.html;2 000;53 580 грн;Володимир-Волинський
ВАЗ 21061991;https://auto.ria.com/uk/auto_vaz_2106_31090097.html;1 200;32 148 грн;Суми
ВАЗ 21142009;https://auto.ria.com/uk/auto_vaz_2114_30869819.html;2 700;72 333 грн;Харків
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_31090063.html;2 000;53 580 грн;Горішні Плавні (Комсомольськ)
ВАЗ 21152008;https://auto.ria.com/uk/auto_vaz_2115_30552018.html;2 999;80 343 грн;Київ
ВАЗ 21081987;https://auto.ria.com/uk/auto_vaz_2108_31089989.html;1 100;29 469 грн;Полтава
ВАЗ 11192007;https://auto.ria.com/uk/auto_vaz_1119_31089967.html;3 500;93 765 грн;Яготин
ВАЗ 21051995;https://auto.ria.com/uk/auto_vaz_2105_30574064.html;850;22 772 грн;Хмельницький
ВАЗ 2101 210131982;https://auto.ria.com/uk/auto_vaz_2101_31089887.html;1 500;40 185 грн;Хмельницький
ВАЗ 212132003;https://auto.ria.com/uk/auto_vaz_21213_30638448.html;4 900;131 271 грн;Снятин
ВАЗ 212131997;https://auto.ria.com/uk/auto_vaz_21213_29647750.html;3 200;85 728 грн;Сторожинець
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31089762.html;2 000;53 580 грн;Козелець
ВАЗ 210992001;https://auto.ria.com/uk/auto_vaz_21099_31089709.html;2 500;66 975 грн;Харків
ВАЗ 21211975;https://auto.ria.com/uk/auto_vaz_2121_28165235.html;2 538;68 000 грн;Миколаїв
ВАЗ 210991997;https://auto.ria.com/uk/auto_vaz_21099_27375176.html;1 780;47 686 грн;Львів
ВАЗ 2115 TOP2008;https://auto.ria.com/uk/auto_vaz_2115_31089544.html;2 800;75 012 грн;Київ
ВАЗ 21722008;https://auto.ria.com/uk/auto_vaz_2172_30833273.html;3 600;96 444 грн;Івано-Франківськ
ВАЗ 210991994;https://auto.ria.com/uk/auto_vaz_21099_31089450.html;1 590;42 596 грн;Балта
ВАЗ 21122005;https://auto.ria.com/uk/auto_vaz_2112_30816718.html;3 300;88 407 грн;Маріуполь
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_30561196.html;2 700;72 333 грн;Вінниця
ВАЗ 21152007;https://auto.ria.com/uk/auto_vaz_2115_31089423.html;3 200;85 728 грн;Бучач
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31089394.html;2 400;64 296 грн з ПДВ;Полтава
ВАЗ 21011987;https://auto.ria.com/uk/auto_vaz_2101_31089337.html;1 350;36 167 грн;Умань
ВАЗ 21031979;https://auto.ria.com/uk/auto_vaz_2103_31087032.html;600;16 074 грн;Харків
ВАЗ 21142010;https://auto.ria.com/uk/auto_vaz_2114_30573952.html;2 950;79 031 грн;Вінниця
ВАЗ 21122006;https://auto.ria.com/uk/auto_vaz_2112_31089327.html;3 100;83 049 грн;Переяслав-Хмельницький
ВАЗ 21061987;https://auto.ria.com/uk/auto_vaz_2106_30799230.html;1 250;33 488 грн;Черкаси
ВАЗ 21122006;https://auto.ria.com/uk/auto_vaz_2112_31089233.html;2 900;77 691 грн;Житомир
ВАЗ 21072002;https://auto.ria.com/uk/auto_vaz_2107_30758228.html;1 420;38 042 грн;Чортків
ВАЗ 11192012;https://auto.ria.com/uk/auto_vaz_1119_30821694.html;5 500;147 345 грн;Охтирка
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_30906012.html;1 800;48 222 грн;Новоукраїнка
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31089168.html;2 700;72 333 грн;Веселинове
ВАЗ 210992003;https://auto.ria.com/uk/auto_vaz_21099_31089157.html;2 150;57 599 грн;Борислав
ВАЗ 21132010;https://auto.ria.com/uk/auto_vaz_2113_28848693.html;3 500;93 765 грн;Хмельницький
ВАЗ 21211989;https://auto.ria.com/uk/auto_vaz_2121_30189646.html;3 003;80 450 грн;Конотоп
ВАЗ 2106 210631991;https://auto.ria.com/uk/auto_vaz_2106_28887093.html;1 550;41 525 грн;Львів
ВАЗ 21061983;https://auto.ria.com/uk/auto_vaz_2106_30791091.html;1 400;37 506 грн;Острог
ВАЗ 21061985;https://auto.ria.com/uk/auto_vaz_2106_31083624.html;499;13 368 грн;Дубровиця
ВАЗ 21102001;https://auto.ria.com/uk/auto_vaz_2110_30261746.html;2 500;66 975 грн;Жовті Води
ВАЗ 21102005;https://auto.ria.com/uk/auto_vaz_2110_30826739.html;2 300;61 617 грн;Середина-Буда
ВАЗ 21102010;https://auto.ria.com/uk/auto_vaz_2110_31088974.html;3 500;93 765 грн;Чернівці
ВАЗ 21102009;https://auto.ria.com/uk/auto_vaz_2110_31088930.html;3 550;95 105 грн;Недригайлів
ВАЗ 21061992;https://auto.ria.com/uk/auto_vaz_2106_31088931.html;1 000;26 790 грн;Чернівці
ВАЗ 21041990;https://auto.ria.com/uk/auto_vaz_2104_30870857.html;1 600;42 864 грн;Балта
ВАЗ 21011983;https://auto.ria.com/uk/auto_vaz_2101_29941329.html;850;22 772 грн;Білгород-Дністровський
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_31088890.html;1 300;34 827 грн;Фастів
ВАЗ 21071995;https://auto.ria.com/uk/auto_vaz_2107_31088884.html;1 200;32 148 грн;Тернопіль
ВАЗ 2110 211022002;https://auto.ria.com/uk/auto_vaz_2110_31088875.html;2 200;58 938 грн;Харків
ВАЗ 21071988;https://auto.ria.com/uk/auto_vaz_2107_29975129.html;1 699;45 516 грн;Київ
ВАЗ 21091990;https://auto.ria.com/uk/auto_vaz_2109_30978530.html;1 550;41 525 грн;Біла Церква
ВАЗ 21091989;https://auto.ria.com/uk/auto_vaz_2109_30828841.html;1 250;33 488 грн;Черкаси
ВАЗ 21072004;https://auto.ria.com/uk/auto_vaz_2107_30825912.html;1 200;32 148 грн;Полтава
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_31088790.html;3 200;85 728 грн;Нікополь
ВАЗ 21102003;https://auto.ria.com/uk/auto_vaz_2110_31088786.html;1 700;45 543 грн;Тульчин
ВАЗ 21091992;https://auto.ria.com/uk/auto_vaz_2109_31087778.html;950;25 451 грн;Житомир
ВАЗ 1118 1118302005;https://auto.ria.com/uk/auto_vaz_1118_31088728.html;1 950;52 241 грн;Херсон
ВАЗ 21214 LADA  212142015;https://auto.ria.com/uk/auto_vaz_21214_31088716.html;8 650;231 734 грн;Дніпро (Дніпропетровськ)
ВАЗ 21061986;https://auto.ria.com/uk/auto_vaz_2106_30318200.html;600;16 074 грн;Новояворівськ
ВАЗ 21081990;https://auto.ria.com/uk/auto_vaz_2108_30468878.html;1 300;34 827 грн;Київ
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_30031512.html;3 500;93 765 грн;Бахмут (Артемівськ)
ВАЗ 21041995;https://auto.ria.com/uk/auto_vaz_2104_27928477.html;1 800;48 222 грн;Київ
ВАЗ 21061984;https://auto.ria.com/uk/auto_vaz_2106_31088522.html;1 600;42 864 грн;Володарка
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_31087502.html;3 499;93 738 грн;Іршава
ВАЗ 21081991;https://auto.ria.com/uk/auto_vaz_2108_29946641.html;900;24 111 грн;Турка
ВАЗ 11172008;https://auto.ria.com/uk/auto_vaz_1117_30581778.html;3 599;96 417 грн;Миколаїв
ВАЗ 21102001;https://auto.ria.com/uk/auto_vaz_2110_29053136.html;2 500;66 975 грн;Ананьїв
ВАЗ 21071989;https://auto.ria.com/uk/auto_vaz_2107_31088402.html;1 000;26 790 грн;Прилуки
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_30127319.html;2 950;79 031 грн;Дубно
ВАЗ 21102011;https://auto.ria.com/uk/auto_vaz_2110_31088012.html;3 950;105 821 грн;Чортків
ВАЗ 212141999;https://auto.ria.com/uk/auto_vaz_21214_31088307.html;4 300;115 197 грн;Тячів
ВАЗ 21142013;https://auto.ria.com/uk/auto_vaz_2114_31088328.html;2 800;75 012 грн;Херсон
ВАЗ 21061987;https://auto.ria.com/uk/auto_vaz_2106_30515947.html;1 000;26 790 грн;Кременчук
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31088181.html;3 300;88 407 грн;Миргород
ВАЗ 21702009;https://auto.ria.com/uk/auto_vaz_2170_28956007.html;3 100;83 049 грн;Ізюм
ВАЗ 2101 210111978;https://auto.ria.com/uk/auto_vaz_2101_30692813.html;3 000;80 370 грн;Кременець
ВАЗ 21152008;https://auto.ria.com/uk/auto_vaz_2115_31088139.html;4 000;107 160 грн;Запоріжжя
ВАЗ 21152005;https://auto.ria.com/uk/auto_vaz_2115_30817568.html;2 400;64 296 грн;Івано-Франківськ
ВАЗ 21071989;https://auto.ria.com/uk/auto_vaz_2107_31088129.html;1 050;28 130 грн;Львів
ВАЗ 21051982;https://auto.ria.com/uk/auto_vaz_2105_31088122.html;700;18 753 грн;Дніпро (Дніпропетровськ)
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_26741767.html;2 700;72 333 грн;Васильків
ВАЗ 21081988;https://auto.ria.com/uk/auto_vaz_2108_31088055.html;850;22 772 грн;Хмельницький
ВАЗ 21102004;https://auto.ria.com/uk/auto_vaz_2110_30636028.html;3 000;80 370 грн;Бобровиця
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_29544016.html;3 000;80 370 грн;Новгородка
ВАЗ 21092005;https://auto.ria.com/uk/auto_vaz_2109_31088043.html;2 800;75 012 грн;Мелітополь
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_31088042.html;2 000;53 580 грн;Кременчук
ВАЗ 21042005;https://auto.ria.com/uk/auto_vaz_2104_30844659.html;1 700;45 543 грн;Первомайськ
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_30762403.html;2 300;61 617 грн;Коломия
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31087992.html;2 400;64 296 грн;Київ
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_30924127.html;2 500;66 975 грн;Одеса
ВАЗ 21061979;https://auto.ria.com/uk/auto_vaz_2106_31087965.html;1 400;37 506 грн;Дніпро (Дніпропетровськ)
ВАЗ 21211990;https://auto.ria.com/uk/auto_vaz_2121_31086968.html;2 500;66 975 грн;Ізюм
ВАЗ 21011973;https://auto.ria.com/uk/auto_vaz_2101_27952265.html;700;18 753 грн;Тернопіль
ВАЗ 21061991;https://auto.ria.com/uk/auto_vaz_2106_27225112.html;2 500;66 975 грн;Сарни
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_31087872.html;2 650;70 994 грн;Мена
ВАЗ 21081988;https://auto.ria.com/uk/auto_vaz_2108_31087773.html;1 255;33 621 грн;Хмельницький
ВАЗ 210991996;https://auto.ria.com/uk/auto_vaz_21099_31087821.html;2 150;57 599 грн;Миргород
ВАЗ 21091990;https://auto.ria.com/uk/auto_vaz_2109_31087643.html;1 500;40 185 грн;Калуш
ВАЗ 21102011;https://auto.ria.com/uk/auto_vaz_2110_31087796.html;3 500;93 765 грн;Первомайськ
ВАЗ 21071995;https://auto.ria.com/uk/auto_vaz_2107_31087562.html;950;25 451 грн;Красноград
ВАЗ 21702011;https://auto.ria.com/uk/auto_vaz_2170_30250816.html;4 200;112 518 грн;Харків
ВАЗ 11192007;https://auto.ria.com/uk/auto_vaz_1119_31087728.html;3 300;88 407 грн;Олександрія
ВАЗ 21011971;https://auto.ria.com/uk/auto_vaz_2101_31087692.html;750;20 093 грн;Гайворон
ВАЗ 21152005;https://auto.ria.com/uk/auto_vaz_2115_30844022.html;2 350;62 957 грн;Суми
ВАЗ 21142013;https://auto.ria.com/uk/auto_vaz_2114_31087629.html;3 300;88 407 грн;Рівне
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31087620.html;3 400;91 086 грн;Запоріжжя
ВАЗ 2114 21112008;https://auto.ria.com/uk/auto_vaz_2114_30569985.html;2 100;56 259 грн;Житомир
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31087487.html;2 700;72 333 грн;Олександрія
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_30432006.html;1 600;42 864 грн;Київ
ВАЗ 21061992;https://auto.ria.com/uk/auto_vaz_2106_31087472.html;900;24 111 грн;Кіцмань
ВАЗ 2107 21072002;https://auto.ria.com/uk/auto_vaz_2107_31087430.html;1 950;52 241 грн;Дніпро (Дніпропетровськ)
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_30278703.html;5 400;144 666 грн;Лубни
ВАЗ 21112001;https://auto.ria.com/uk/auto_vaz_2111_31087366.html;2 500;66 975 грн;Вознесенськ
ВАЗ 2106 1.31982;https://auto.ria.com/uk/auto_vaz_2106_31087364.html;550;14 735 грн;Гусятин
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31087253.html;3 350;89 747 грн;Крижопіль
ВАЗ 21021983;https://auto.ria.com/uk/auto_vaz_2102_31087239.html;995;26 656 грн;Полонне
ВАЗ 21091991;https://auto.ria.com/uk/auto_vaz_2109_31087109.html;1 100;29 469 грн;Любомль
ВАЗ 21131982;https://auto.ria.com/uk/auto_vaz_2113_31087117.html;747;20 000 грн;Дніпро (Дніпропетровськ)
ВАЗ 21061983;https://auto.ria.com/uk/auto_vaz_2106_31087158.html;1 300;34 827 грн;Київ
ВАЗ 21102011;https://auto.ria.com/uk/auto_vaz_2110_31087085.html;4 150;111 179 грн;Сміла
ВАЗ 2115 momo2006;https://auto.ria.com/uk/auto_vaz_2115_31087101.html;2 300;61 617 грн;Буча
ВАЗ 21051988;https://auto.ria.com/uk/auto_vaz_2105_31086945.html;1 100;29 469 грн;Каховка
ВАЗ 21092004;https://auto.ria.com/uk/auto_vaz_2109_31086909.html;2 150;57 599 грн;Івано-Франківськ
ВАЗ 21091991;https://auto.ria.com/uk/auto_vaz_2109_31086911.html;1 250;33 488 грн;Рівне
ВАЗ 210991999;https://auto.ria.com/uk/auto_vaz_21099_30936807.html;850;22 772 грн;Кам'янець-Подільський
ВАЗ 21011983;https://auto.ria.com/uk/auto_vaz_2101_30849512.html;750;20 093 грн;Кам'янець-Подільський
ВАЗ 21072004;https://auto.ria.com/uk/auto_vaz_2107_29294367.html;1 750;46 883 грн;Ширяєве
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_31086802.html;1 800;48 222 грн;Ладижин
ВАЗ 21081991;https://auto.ria.com/uk/auto_vaz_2108_31086756.html;1 550;41 525 грн;Вінниця
ВАЗ 21112008;https://auto.ria.com/uk/auto_vaz_2111_31086771.html;3 300;88 407 грн;Вінниця
ВАЗ 21091990;https://auto.ria.com/uk/auto_vaz_2109_30510326.html;1 350;36 167 грн;Харків
ВАЗ 21092004;https://auto.ria.com/uk/auto_vaz_2109_31086509.html;2 350;62 957 грн;Львів
ВАЗ 21061990;https://auto.ria.com/uk/auto_vaz_2106_31086236.html;1 300;34 827 грн;Луцьк
ВАЗ 21722012;https://auto.ria.com/uk/auto_vaz_2172_31086671.html;5 000;133 950 грн;Харків
ВАЗ 21011984;https://auto.ria.com/uk/auto_vaz_2101_30875090.html;1 000;26 790 грн;Кременець
ВАЗ 21061994;https://auto.ria.com/uk/auto_vaz_2106_31086616.html;1 400;37 506 грн;Кролевець
ВАЗ 21211984;https://auto.ria.com/uk/auto_vaz_2121_30067170.html;3 500;93 765 грн;Конотоп
ВАЗ 2121 21211989;https://auto.ria.com/uk/auto_vaz_2121_31010632.html;3 200;85 728 грн;Вінниця
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_31082013.html;3 000;80 370 грн;Суми
ВАЗ 21072004;https://auto.ria.com/uk/auto_vaz_2107_31085055.html;1 100;29 469 грн;Горохів
ВАЗ 21081990;https://auto.ria.com/uk/auto_vaz_2108_29609486.html;950;25 451 грн;Славське
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31072277.html;4 300;115 197 грн;Запоріжжя
ВАЗ 21041996;https://auto.ria.com/uk/auto_vaz_2104_31086331.html;1 550;41 525 грн;Вінниця
ВАЗ 21051995;https://auto.ria.com/uk/auto_vaz_2105_30554885.html;800;21 432 грн;Ємільчине
ВАЗ 21092001;https://auto.ria.com/uk/auto_vaz_2109_30800813.html;1 400;37 506 грн;Любар
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31086137.html;2 950;79 031 грн;Слов'янськ
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_28966313.html;2 500;66 975 грн;Рогатин
ВАЗ 21081989;https://auto.ria.com/uk/auto_vaz_2108_31086270.html;1 400;37 506 грн;Харків
ВАЗ 21091994;https://auto.ria.com/uk/auto_vaz_2109_31086253.html;2 400;64 296 грн;Приморськ
ВАЗ 21061989;https://auto.ria.com/uk/auto_vaz_2106_31086075.html;1 100;29 469 грн;Нововолинськ
ВАЗ 210991994;https://auto.ria.com/uk/auto_vaz_21099_31086069.html;1 400;37 506 грн;Нововолинськ
ВАЗ 21152001;https://auto.ria.com/uk/auto_vaz_2115_31086047.html;2 500;66 975 грн;Харків
ВАЗ 2107 . GBO.1991;https://auto.ria.com/uk/auto_vaz_2107_31086034.html;960;25 718 грн;Вінниця
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_31085975.html;1 250;33 488 грн;Харків
ВАЗ 21071991;https://auto.ria.com/uk/auto_vaz_2107_31086004.html;700;18 753 грн;Ужгород
ВАЗ 21102004;https://auto.ria.com/uk/auto_vaz_2110_31086000.html;2 830;75 816 грн;Нікополь
ВАЗ 21071997;https://auto.ria.com/uk/auto_vaz_2107_31085977.html;2 000;53 580 грн;Вугледар
ВАЗ 21011974;https://auto.ria.com/uk/auto_vaz_2101_31085955.html;1 082;29 000 грн;Запоріжжя
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_25447490.html;4 200;112 518 грн;Гайворон
ВАЗ 210992000;https://auto.ria.com/uk/auto_vaz_21099_31085957.html;2 200;58 938 грн;Славута
ВАЗ 21051982;https://auto.ria.com/uk/auto_vaz_2105_31083550.html;700;18 753 грн;Новомосковськ
ВАЗ 21061992;https://auto.ria.com/uk/auto_vaz_2106_31085875.html;1 500;40 185 грн;Енергодар
ВАЗ 21071992;https://auto.ria.com/uk/auto_vaz_2107_31085844.html;600;16 074 грн;Київ
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_29454117.html;2 600;69 654 грн;Ужгород
ВАЗ 21071990;https://auto.ria.com/uk/auto_vaz_2107_29619688.html;1 800;48 222 грн;Чернівці
ВАЗ 21722008;https://auto.ria.com/uk/auto_vaz_2172_31085654.html;2 500;66 975 грн;Ірпінь
ВАЗ 21011976;https://auto.ria.com/uk/auto_vaz_2101_31085614.html;650;17 414 грн;Лебедин
ВАЗ 21092007;https://auto.ria.com/uk/auto_vaz_2109_31085663.html;2 600;69 654 грн;Болград
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_30952524.html;3 000;80 370 грн;Краматорськ
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_29265304.html;3 250;87 068 грн;Запоріжжя
ВАЗ 1118 GAZ2005;https://auto.ria.com/uk/auto_vaz_1118_31085433.html;2 450;65 636 грн;Київ
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31085491.html;3 400;91 086 грн;Кременчук
ВАЗ 21102005;https://auto.ria.com/uk/auto_vaz_2110_31085495.html;3 600;96 444 грн;Херсон
ВАЗ 21092002;https://auto.ria.com/uk/auto_vaz_2109_31085437.html;2 200;58 938 грн;Харків
ВАЗ 21071990;https://auto.ria.com/uk/auto_vaz_2107_30316513.html;750;20 093 грн;Борислав
ВАЗ 21061985;https://auto.ria.com/uk/auto_vaz_2106_31085390.html;1 199;32 121 грн;Тульчин
ВАЗ 21211980;https://auto.ria.com/uk/auto_vaz_2121_31033090.html;2 000;53 580 грн;Малин
ВАЗ 21011981;https://auto.ria.com/uk/auto_vaz_2101_31085280.html;750;20 093 грн;Городище
ВАЗ 21061984;https://auto.ria.com/uk/auto_vaz_2106_31085260.html;1 100;29 469 грн;Новоград-Волинський
ВАЗ 21061982;https://auto.ria.com/uk/auto_vaz_2106_31085227.html;850;22 772 грн;Харків
ВАЗ 21051983;https://auto.ria.com/uk/auto_vaz_2105_31085224.html;373;10 000 грн;Вижниця
ВАЗ 21092008;https://auto.ria.com/uk/auto_vaz_2109_31085181.html;2 800;75 012 грн;Христинівка
ВАЗ 21091995;https://auto.ria.com/uk/auto_vaz_2109_31085200.html;2 500;66 975 грн;Коблеве
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_30836611.html;2 700;72 333 грн;Тальне
ВАЗ 21061991;https://auto.ria.com/uk/auto_vaz_2106_31085112.html;1 200;32 148 грн;Хмельницький
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31085107.html;3 300;88 407 грн;Жмеринка
ВАЗ 212142007;https://auto.ria.com/uk/auto_vaz_21214_30406618.html;5 500;147 345 грн;Вінниця
ВАЗ 212142013;https://auto.ria.com/uk/auto_vaz_21214_31084965.html;5 700;152 703 грн;Харків
ВАЗ 21091992;https://auto.ria.com/uk/auto_vaz_2109_31084985.html;1 499;40 158 грн;Біла Церква
ВАЗ 21152005;https://auto.ria.com/uk/auto_vaz_2115_31084808.html;3 800;101 802 грн;Харків
