Название;Цена;Описание;Подробное описание;Артикул;Материалы;Инструкция по использыванию;Размер 
STRÅLA СТРОЛА Светодиодн подсвечник на батарейках, черный28 см;799;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;"Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Отличный аксессуар для создания праздничной атмосферы в доме.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Батарейки продаются отдельно; требуется 2 батарейки AAA.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.";605.028.19;Основа:Алюминий, Порошковое покрытие Колпак/ Отсек батареи/ Трубка/ Украшение:Пластмасса АБС Кольцо:Сталь, Никелирование;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodn-podsvechnik-na-batareykah-chernyy__AA-2262072-1.pdf;Диаметр: 5 см Высота: 28 см Срок службы: 20000 ч
STRÅLA СТРОЛА Абажур, белый90 см;799;Создает атмосферу праздника и домашнего уюта.;Создает атмосферу праздника и домашнего уюта.Только для использования в помещении.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.Шнур-подвес продается отдельно.;505.032.30;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-belyy__AA-2194331-1.pdf;Диаметр: 90 см
KARISMATISK КАРИСМАТИСК Гирлянда, 12 светодиодов, для помещений/с батарейным питанием золотой;1 299;По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.;"По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.Требуются 2 батарейки АА; продаются отдельно.Срок службы светодиода около 25 000 часов.Интегрированный светодиод.Этот товар имеет маркировку CE.";104.990.46;Изоляция:Полипропилен Украшение:100 % полиэстер Отсек батареи:Пластмасса АБС Трубка:ПЭТ (Полиэтилентерефталат);https://www.ikea.com/ru/ru/assembly_instructions/karismatisk-girlyanda-12-svetodiodov-dlya-pomeshcheniy-s-batareynym-pitaniem-zolotoy__AA-2239125-2.pdf;Длина до 1 лампочки: 0.5 м Длина шнура между лампочками: 15 см Мощность: 0.3 Вт Общая длина: 2.1 м Диаметр: 9 см Срок службы: 25000 ч
GODAFTON ГОДАФТОН Светодиодная формовая свеча, 2 шт., с батарейным питанием серый;699;Мерцающий приятный свет светодиодной свечи практически не отличим от света настоящей свечи. Прекрасное решение для семей с детьми. Такие свечи можно использовать в любом уголке дома, не опасаясь пожара.;"Мерцающий приятный свет светодиодной свечи практически не отличим от света настоящей свечи. Прекрасное решение для семей с детьми. Такие свечи можно использовать в любом уголке дома, не опасаясь пожара.Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Также одобрено для использования на улице, поэтому можно использовать для оформления лоджии или балкона.Требуются 4 батарейки ААА; продаются отдельно.Одобрено для использования вне помещений.В набор входит: 1 светодиодная формовая свеча (высота 10 см, диам. 7 см) и 1 светодиодная формовая свеча (высота 14 см, диам. 7 см).Встроенный таймер установлен на 6 часов освещения. Затем свет автоматически выключается на 18 часов.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Новые полностью заряженные аккумуляторные батарейки ЛАДДА ААА 900 мА·ч обеспечат освещение в течение 48 часов. Одной зарядки хватит примерно на 8 дней при условии, что светильник будет работать по 6 часа в день.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света; теплый белый (3000 Кельвинов).";303.702.26;Основные части:Пластмасса АБС, Краска Отсек батареи:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/godafton-svetodiodnaya-formovaya-svecha-2-sht-s-batareynym-pitaniem-seryy__AA-2229749-3.pdf;Длина до 1 лампочки: 0.5 м Длина шнура между лампочками: 15 см Мощность: 0.3 Вт Общая длина: 2.1 м Диаметр: 9 см Срок службы: 25000 ч
STRÅLA СТРОЛА Абажур, лист золотой/орнамент «точки»90 см;799;Создает атмосферу праздника и домашнего уюта.;Создает атмосферу праздника и домашнего уюта.Только для использования в помещении.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.Шнур-подвес продается отдельно.;405.037.30;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-list-zolotoy-ornament-tochki-__AA-2194331-1.pdf;Диаметр: 90 см
SOLVINDEN СОЛВИДЕН Гирлянда, 12 светодиодов, с батарейным питанием для сада/рыба прозрачный;799;По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.;По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Одобрено для использования вне помещения, степень защиты IP 44.Интегрированный светодиод.Этот товар имеет маркировку CE.Срок службы светодиода около 25 000 часов.;804.870.64;Отсек батареи:Пластмасса АБС Корпус выключателя:Синтетический каучук Абажур:Поликарбонат Шуруп:Полиамидная пластмасса Украшение:МАБС пластик;https://www.ikea.com/ru/ru/assembly_instructions/solvinden-solviden-girlyanda-12-svetodiodov-s-batareynym-pitaniem-dlya-sada-ryba-prozrachnyy__AA-2239540-3.pdf;Длина провода: 1.7 м Длина шнура между лампочками: 15 см Длина до 1 лампочки: 1.5 м Мощность: 0.3 Вт Общая длина: 3.2 м
STRÅLA СТРОЛА Светодиодн подсвечник на батарейках, бук;1 299;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;"Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Отличный аксессуар для создания праздничной атмосферы в доме.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Батарейки продаются отдельно; требуется 2 батарейки AAA.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.";405.029.00;Кольцо/ Свечная чашка:Сталь, Никелирование Основа:Массив бука, Прозрачный лак Трубка/ Отсек батареи/ Украшение/ Чехол:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodn-podsvechnik-na-batareykah-buk__AA-2291571-1.pdf;Диаметр: 8 см Высота: 25 см
GODAFTON ГОДАФТОН Светодиодная формовая свеча, с батарейным питанием/естественный14 см;399;Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.;"Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.Мерцающий приятный свет светодиодной свечи практически не отличим от света настоящей свечи. Прекрасное решение для семей с детьми. Такие свечи можно использовать в любом уголке дома, не опасаясь пожара.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Также одобрено для использования на улице, поэтому можно использовать для оформления лоджии или балкона.Батарейки продаются отдельно; требуется 2 батарейки AAA.Одобрено для использования вне помещений.Встроенный таймер установлен на 6 часов освещения. Затем свет автоматически выключается на 18 часов.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Новые полностью заряженные аккумуляторные батарейки ЛАДДА ААА 900 мА·ч обеспечат освещение в течение 48 часов. Одной зарядки хватит примерно на 8 дней при условии, что светильник будет работать по 6 часа в день.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света; теплый белый (3000 Кельвинов).Может требоваться специальная обработка отходов. За более подробной информацией обращайтесь в местные органы власти.";903.617.66;Основные части:Пластмасса АБС, Краска Отсек батареи:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/godafton-svetodiodnaya-formovaya-svecha-s-batareynym-pitaniem-estestvennyy__AA-2229724-2.pdf;Высота: 14 см Диаметр: 7 см
GODAFTON ГОДАФТОН Светодиодная формовая свеча, 2 шт., с батарейным питанием розовый;699;Мерцающий приятный свет светодиодной свечи практически не отличим от света настоящей свечи. Прекрасное решение для семей с детьми. Такие свечи можно использовать в любом уголке дома, не опасаясь пожара.;"Мерцающий приятный свет светодиодной свечи практически не отличим от света настоящей свечи. Прекрасное решение для семей с детьми. Такие свечи можно использовать в любом уголке дома, не опасаясь пожара.Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Также одобрено для использования на улице, поэтому можно использовать для оформления лоджии или балкона.Требуются 4 батарейки ААА; продаются отдельно.Одобрено для использования вне помещений.В набор входит: 1 светодиодная формовая свеча (высота 10 см, диам. 7 см) и 1 светодиодная формовая свеча (высота 14 см, диам. 7 см).Встроенный таймер установлен на 6 часов освещения. Затем свет автоматически выключается на 18 часов.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Новые полностью заряженные аккумуляторные батарейки ЛАДДА ААА 900 мА·ч обеспечат освещение в течение 48 часов. Одной зарядки хватит примерно на 8 дней при условии, что светильник будет работать по 6 часа в день.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света; теплый белый (3000 Кельвинов).";203.777.04;Основные части:Пластмасса АБС, Краска Отсек батареи:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/godafton-svetodiodnaya-formovaya-svecha-2-sht-s-batareynym-pitaniem-rozovyy__AA-2229749-3.pdf;Высота: 14 см Диаметр: 7 см
SNÖYRA СНЁЙРА Гирлянда, 40 светодиодов, для помещений/с батарейным питанием серебристый;599;Создает декоративное освещение.;"Создает декоративное освещение.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Используются светодиоды, которые по сравнению с лампами накаливания потребляют почти на 85 % меньше электроэнергии, а служат в 20 раз дольше.Интегрированный светодиод.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Срок службы светодиода около 25 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Может требоваться специальная обработка отходов. За более подробной информацией обращайтесь в местные органы власти.Требуются 2 батарейки АА; продаются отдельно.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.";804.213.65;Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/snoeyra-snyoyra-girlyanda-40-svetodiodov-dlya-pomeshcheniy-s-batareynym-pitaniem-serebristyy__AA-2085529-3.pdf;Длина до 1 лампочки: 1 м Длина шнура между лампочками: 10 см Мощность: 0.1 Вт Общая длина: 4.9 м
STRÅLA СТРОЛА Абажур, кружево/белый48 см;399;Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.;Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.Создает атмосферу праздника и домашнего уюта.Основание светильника и шнур-подвес продаются отдельно.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.Только для использования в помещении.;905.028.89;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-kruzhevo-belyy__AA-2196058-2.pdf;Диаметр: 48 см
KÖLDKNÄPP КЁЛДКНЭПП Декоративная подсветка, светодиоды, с батарейным питанием6 см;499;Мягкий свет создает в комнате уютную и располагающую атмосферу.;Мягкий свет создает в комнате уютную и располагающую атмосферу.Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Прекрасный аксессуар для создания праздничной атмосферы в доме.Батарейки продаются отдельно. Мы рекомендуем литиевые батарейки ПЛАТБОЙ CR2032 3 В (8 шт.). Требуется 3 батарейки. Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Использовать внутри помещений.;904.703.60;Основание:Полистирол Отсек батареи:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/koeldknaepp-kyoldknepp-dekorativnaya-podsvetka-svetodiody-s-batareynym-pitaniem__AA-2259031-2.pdf;Высота: 6 см Количество в упаковке: 3 шт
STRÅLA СТРОЛА Абажур, белый70 см;499;Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.;Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.Создает атмосферу праздника и домашнего уюта.Только для использования в помещении.Основание светильника и шнур-подвес продаются отдельно.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.;705.032.34;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-belyy__AA-2194326-2.pdf;Диаметр: 70 см
KÖLDKNÄPP КЁЛДКНЭПП Декоративная подсветка, светодиоды, с батарейным питанием11 см;399;Мягкий свет создает в комнате уютную и располагающую атмосферу.;"Мягкий свет создает в комнате уютную и располагающую атмосферу.Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Прекрасный аксессуар для создания праздничной атмосферы в доме.Требуются 2 батарейки АА; продаются отдельно.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Использовать внутри помещений.";804.703.51;Основание:Полистирол Отсек батареи:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/koeldknaepp-kyoldknepp-dekorativnaya-podsvetka-svetodiody-s-batareynym-pitaniem__AA-2259040-2.pdf;Высота: 11 см
AKTERPORT АКТЕРПОРТ Гирлянда, 12 светодиодов, с батарейным питанием/Галька белый;699;Создает декоративное освещение.;"Создает декоративное освещение.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.Требуются 2 батарейки АА; продаются отдельно.";505.048.47;Украшение:Полистирол Отсек батареи:Пластмасса АБС Крепление провода:Поликарбонат Зажим:Полипропилен;https://www.ikea.com/ru/ru/assembly_instructions/akterport-girlyanda-12-svetodiodov-s-batareynym-pitaniem-galka-belyy__AA-2291572-1.pdf;Длина провода: 1.5 м Длина шнура между лампочками: 15 см Общая длина: 3.2 м Срок службы: 25000 ч
LJUSANDE ЛЬЮСАНДЕ Светодиодная свеча, с батарейным питанием/естественный20 см;699;Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.;"Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.Мерцающий приятный свет светодиодной свечи практически не отличим от света настоящей свечи. Прекрасное решение для семей с детьми. Такие свечи можно использовать в любом уголке дома, не опасаясь пожара.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Батарейки продаются отдельно, требуется 8 батареек АА.Только для использования в помещении.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Новые полностью заряженные аккумуляторные батарейки ЛАДДА АА 2450 мА·ч обеспечат освещение в течение 100 часов. Одной зарядки хватит примерно на 17 дней при условии, что светильник будет работать по 6 часов в день.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света; теплый белый (3000 Кельвинов).Встроенный таймер установлен на 6 часов освещения. Затем свет автоматически выключается на 18 часов.";703.617.72;Трубка:Пластмасса АБС, Краска Основание:Пластмасса АБС, Синтетический каучук;https://www.ikea.com/ru/ru/assembly_instructions/ljusande-lyusande-svetodiodnaya-svecha-s-batareynym-pitaniem-estestvennyy__AA-2229762-1.pdf;Высота: 20 см Диаметр: 2.5 см Количество в упаковке: 4 шт
STRÅLA СТРОЛА Абажур, снежинка70 см;599;Создает атмосферу праздника и домашнего уюта.;Создает атмосферу праздника и домашнего уюта.Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.Только для использования в помещении.Основание светильника и шнур-подвес продаются отдельно.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.;705.038.56;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-snezhinka__AA-2263727-2.pdf;Диаметр: 70 см
STRÅLA СТРОЛА Абажур, кружево белый70 см;499;Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.;Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.Создает атмосферу праздника и домашнего уюта.Основание светильника и шнур-подвес продаются отдельно.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.Только для использования в помещении.;705.028.85;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-kruzhevo-belyy__AA-2066957-2.pdf;Диаметр: 70 см
SOLARVET СОЛАРВЕТ Гирлянда, 24 светодиода, для сада на солнечной батарее/шар белый;1 999;Электрические гирлянды — идеальное решение для балкона, террасы или сада. Создайте располагающую атмосферу для ужина с друзьями или тихого вечера на свежем воздухе.;"Создает декоративное освещение.Батарея трансформирует солнечный свет в электроэнергию: никаких затрат на электричество и забота об экологии.Легко использовать, так как провода и розетки не нужны.Используются светодиоды, которые по сравнению с лампами накаливания потребляют почти на 85 % меньше электроэнергии, а служат в 20 раз дольше.Интегрированный светодиод.Время зарядки 9–12 часов в солнечную погоду и свыше 12 часов в пасмурную погоду.Разместите солнечную батарею таким образом, чтобы обеспечить максимальное поглощение солнечного света.Полностью заряженная батарея обеспечивает свет в течение прим. 12 часов.Срок службы светодиода около 25 000 часов.Цветность света; теплый белый (3000 Кельвинов).Одобрено для использования вне помещения, степень защиты IP 44.Батарейку можно заменить только на аккумуляторную батарейку такого же типа и емкости.Может требоваться специальная обработка отходов. За более подробной информацией обращайтесь в местные органы власти.1 перезаряжаемая батарейка AA 1,2 В для светильников на солнечных батареях прилагается.";204.214.10;Отсек батареи:Пластмасса АБС Украшение:100% нейлон Крепление абажура:Полипропилен;https://www.ikea.com/ru/ru/assembly_instructions/solarvet-girlyanda-24-svetodioda-dlya-sada-na-solnechnoy-bataree-shar-belyy__AA-2235511-2.pdf;Длина до 1 лампочки: 3 м Длина шнура между лампочками: 19 см Диаметр: 7.5 см Мощность: 0.1 Вт Общая длина: 7.3 м
UTSUND УТСУНД Гирлянда, 12 светодиодов, для сада/с батарейным питанием черный;1 299;Электрические гирлянды — идеальное решение для балкона, террасы или сада. Создайте располагающую атмосферу для ужина с друзьями или тихого вечера на свежем воздухе.;Создает декоративное освещение.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Интегрированный светодиод.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Может требоваться специальная обработка отходов. За более подробной информацией обращайтесь в местные органы власти.Батарейки продаются отдельно, требуется 3 батарейки АА.;104.211.37;Чехол, верхняя сторона/ Чехол, нижняя сторона/ Отсек батареи:Пластмасса АБС Шуруп:Полиамидная пластмасса Корпус выключателя/ Корпус:Синтетический каучук Абажур:Поликарбонат;https://www.ikea.com/ru/ru/assembly_instructions/utsund-girlyanda-12-svetodiodov-dlya-sada-s-batareynym-pitaniem-chernyy__AA-2240542-2.pdf;Длина до 1 лампочки: 1.5 м Световой поток: 4 Люмен Длина шнура между лампочками: 30 см Мощность: 0.1 Вт Общая длина: 4.9 м
LEDLJUS ЛЕДЛЬЮС Гирлянда, 24 светодиода, для сада черный;999;Электрические гирлянды — идеальное решение для балкона, террасы или сада. Создайте располагающую атмосферу для ужина с друзьями или тихого вечера на свежем воздухе.;Создает декоративное освещение.Используются светодиоды, которые по сравнению с лампами накаливания потребляют почти на 85 % меньше электроэнергии, а служат в 20 раз дольше.Интегрированный светодиод.Может требоваться специальная обработка отходов. За более подробной информацией обращайтесь в местные органы власти.;303.574.56;Поликарбонат;https://www.ikea.com/ru/ru/assembly_instructions/ledljus-ledlyus-girlyanda-24-svetodioda-dlya-sada-chernyy__AA-2235687-4.pdf;Световой поток: 50 Люмен Длина шнура между лампочками: 15 см Длина провода: 4.0 м Мощность: 1.0 Вт Общая длина: 7.5 м
HÖSTFEST ХЁСТФЕСТ Декоративная подсветка, светодиоды, с батарейным питанием д/дома/улицы/гриб белый15 см;699;Мягкий свет создает в комнате уютную и располагающую атмосферу.;"Мягкий свет создает в комнате уютную и располагающую атмосферу.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.Интегрированный светодиод.Цветность света: 2700 Кельвинов (теплый белый).Срок службы около 20 000 часов.Одобрено для использования вне помещений.Батарейки продаются отдельно; требуется 2 шт. 1.5V DC LR03 (AAA).";604.703.33;Основные части:Полипропилен Отсек батареи:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/hoestfest-hyostfest-dekorativnaya-podsvetka-svetodiody-s-batareynym-pitaniem-d-doma-ulicy-grib-belyy__AA-2272300-1.pdf;Высота: 15 см
LEDLJUS ЛЕДЛЬЮС Гирлянда, 12 светодиодов, для сада/с батарейным питанием черный;499;Электрические гирлянды — идеальное решение для балкона, террасы или сада. Создайте располагающую атмосферу для ужина с друзьями или тихого вечера на свежем воздухе.;Создает декоративное освещение.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Используются светодиоды, которые по сравнению с лампами накаливания потребляют почти на 85 % меньше электроэнергии, а служат в 20 раз дольше.Интегрированный светодиод.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Может требоваться специальная обработка отходов. За более подробной информацией обращайтесь в местные органы власти.Батарейки продаются отдельно, требуется 3 батарейки АА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.;103.574.57;Отсек батареи:Пластмасса АБС Корпус выключателя:Синтетический каучук Изоляция/ Абажур:Поликарбонат Шуруп:Полиамидная пластмасса;https://www.ikea.com/ru/ru/assembly_instructions/ledljus-ledlyus-girlyanda-12-svetodiodov-dlya-sada-s-batareynym-pitaniem-chernyy__AA-2235514-3.pdf;Длина до 1 лампочки: 1.5 м Длина шнура между лампочками: 15 см Мощность: 0.3 Вт Общая длина: 3.2 м
HÖSTFEST ХЁСТФЕСТ Декоративная подсветка, светодиоды, с батарейным питанием д/дома/улицы/гриб белый20 см;1 299;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;"Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Мягкий свет создает в комнате уютную и располагающую атмосферу.Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Батарейки продаются отдельно; требуется 2 шт. 1.5V DC LR03 (AAA).Одобрено для использования вне помещений.";604.703.28;Основные части:Полипропилен Отсек батареи:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/hoestfest-hyostfest-dekorativnaya-podsvetka-svetodiody-s-batareynym-pitaniem-d-doma-ulicy-grib-belyy__AA-2272279-1.pdf;Высота: 20 см
STRÅLA СТРОЛА Гирлянда, 40 светодиодов, с батарейным питанием лист/белый;799;Нету описания;Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.;405.030.99;Отсек батареи:Пластмасса АБС Украшение:100% полиэстер;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-girlyanda-40-svetodiodov-s-batareynym-pitaniem-list-belyy__AA-2261600-1.pdf;Длина до 1 лампочки: 0.5 м Общая длина: 4.5 м
STRÅLA СТРОЛА Светодиодная гирлянда, 80 ламп, с батарейным питанием мини/звезда золотой;999;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Мягкий рассеянный свет создает в комнате  уютную и располагающую атмосферу.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Батарейки продаются отдельно, требуется 3 батарейки АА.Этот товар имеет маркировку CE.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.;805.031.20;Отсек батареи:Пластмасса АБС Украшение:Полипропилен;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnaya-girlyanda-80-lamp-s-batareynym-pitaniem-mini-zvezda-zolotoy__AA-2259536-1.pdf;Длина до 1 лампочки: 1.5 м Общая длина: 2.7 м
